url,length,hasNumbers,numDots,hasHyphen,hasAtSymbol,label
vihuzsrw83,10,1,0,0,0,1
jfhlzrn.io,10,0,1,0,0,0
stqosusolx-secure,17,0,0,1,0,1
youtube.com,11,0,1,0,0,0
jhlxxi.com,10,0,1,0,0,0
login.verify-account.com,25,0,2,1,0,1
zazjno.org,10,0,1,0,0,0
muvphxwof40,11,1,0,0,0,1
prwxvgotz-account,17,0,0,1,0,1
reevxx.io,9,0,1,0,0,0
apnegup.net,11,0,1,0,0,0
brjofmdyha.org,14,0,1,0,0,0
paypa1.com,10,1,1,0,0,1
dpdhkb@phishing.com,19,0,1,0,1,1
qlkkyrm.net,11,0,1,0,0,0
paluyl.co,9,0,1,0,0,0
dgglgruvhu.com,14,0,1,0,0,0
bdgnew.net,10,0,1,0,0,0
xkrywor.org,11,0,1,0,0,0
0rtxpzpjpy,10,1,0,0,0,1
eogcp-verify,12,0,0,1,0,1
edevr.com,9,0,1,0,0,0
saypecxumb,10,0,0,0,0,1
vitzfy.org,10,0,1,0,0,0
update-bkvfdacko,16,0,0,1,0,1
fimce@phishing.com,18,0,1,0,1,1
update.eefig.com,16,0,2,0,0,1
tvapqzw.com,11,0,1,0,0,0
pvcql0,6,1,0,0,0,1
mzuwp.net,9,0,1,0,0,0
rbqsqjakaj-secure,17,0,0,1,0,1
neobcje.fake-site.com,21,0,2,1,0,1
secure.riuvucv.com,18,0,2,0,0,1
0aahpcypyh,10,1,0,0,0,1
rqbuldzdj@phishing.com,22,0,1,0,1,1
snfpzqv@phishing.com,20,0,1,0,1,1
biumlwqqnf-login,16,0,0,1,0,1
qzevvajuio.fake-site.com,24,0,2,1,0,1
wvmzqx@phishing.com,19,0,1,0,1,1
jnkdv.com,9,0,1,0,0,0
jjamfom-verify,14,0,0,1,0,1
account-mipinvec,16,0,0,1,0,1
iuonmigwrf-account,18,0,0,1,0,1
cmprvgkm.com,12,0,1,0,0,0
onvmf-secure,12,0,0,1,0,1
dnxxxu14,8,1,0,0,0,1
wqszc.io,8,0,1,0,0,0
random123-site.net,20,1,2,1,0,1
eqljndapk@phishing.com,22,0,1,0,1,1
dkclxqo.com,11,0,1,0,0,0
ltcjcomx.org,12,0,1,0,0,0
account.zncwnseo.com,20,0,2,0,0,1
verify-ylviqufprq,17,0,0,1,0,1
cnroqldsy@phishing.com,22,0,1,0,1,1
pjwlykeacb@phishing.com,23,0,1,0,1,1
wrbzgkb@phishing.com,20,0,1,0,1,1
zktyyqshis-account,18,0,0,1,0,1
pihncspap.org,13,0,1,0,0,0
juzqylbd,8,0,0,0,0,1
onxuu.net,9,0,1,0,0,0
qkpnnjq,7,0,0,0,0,1
verify-xxdkafwd,15,0,0,1,0,1
lrxcdjzlzf-login,16,0,0,1,0,1
account.vdlaebbleb.com,22,0,2,0,0,1
gpxegb-secure,13,0,0,1,0,1
shjovxsrgu.org,14,0,1,0,0,0
eqdlnhi.net,11,0,1,0,0,0
cutzcxotdu.co,13,0,1,0,0,0
zxoshgkfy.co,12,0,1,0,0,0
zefpbwxzy.io,12,0,1,0,0,0
kgetb@phishing.com,18,0,1,0,1,1
jefks.fake-site.com,19,0,2,1,0,1
zjmre,5,0,0,0,0,1
hvdmugg,7,0,0,0,0,1
mpwnuae@phishing.com,20,0,1,0,1,1
secure-wmvgy,12,0,0,1,0,1
moihmke.org,11,0,1,0,0,0
dwwtxgob.com,12,0,1,0,0,0
fuizaieo.com,12,0,1,0,0,0
verify.bhfnxunjxs.com,21,0,2,0,0,1
jznyfpt.io,10,0,1,0,0,0
cwcisl-update,13,0,0,1,0,1
knfcotk93,9,1,0,0,0,1
tmzkeme.co,10,0,1,0,0,0
opuvyeurk-login,15,0,0,1,0,1
qvhephtud.co,12,0,1,0,0,0
nhogsfcm.co,11,0,1,0,0,0
fiaey.net,9,0,1,0,0,0
account-qpiqrtpllh,18,0,0,1,0,1
emarr.org,9,0,1,0,0,0
nlmlfuf.co,10,0,1,0,0,0
qvpdxu.org,10,0,1,0,0,0
epjlq.org,9,0,1,0,0,0
update.ofejtzlrmt.com,21,0,2,0,0,1
wzicacjwl23,11,1,0,0,0,1
kz0zrw,6,1,0,0,0,1
update-vsgpbyi,14,0,0,1,0,1
lqnohi.net,10,0,1,0,0,0
nfndacmn.io,11,0,1,0,0,0
wxiryhhm.org,12,0,1,0,0,0
gxkjmleg,8,0,0,0,0,1
cqbagt@phishing.com,19,0,1,0,1,1
qgypztzznm.fake-site.com,24,0,2,1,0,1
judmzhsw.fake-site.com,22,0,2,1,0,1
tknclqshe22,11,1,0,0,0,1
qcosiikl.co,11,0,1,0,0,0
mprmqpk.net,11,0,1,0,0,0
secure.hfsqoykmm.com,20,0,2,0,0,1
ehepfjn.io,10,0,1,0,0,0
ogjubnxrq.org,13,0,1,0,0,0
nymohgc.org,11,0,1,0,0,0
pjqxfn28,8,1,0,0,0,1
ewezhazx.org,12,0,1,0,0,0
hhvorr.io,9,0,1,0,0,0
secure-pgmeeub,14,0,0,1,0,1
0wmikhyin,9,1,0,0,0,1
wkdpq.com,9,0,1,0,0,0
tvsmclrny.fake-site.com,23,0,2,1,0,1
jbmzxrkff.io,12,0,1,0,0,0
vzbnejjl@phishing.com,21,0,1,0,1,1
login-bbtxcgsdtk,16,0,0,1,0,1
wybjon.co,9,0,1,0,0,0
jvwmqys.io,10,0,1,0,0,0
iqcxvl@phishing.com,19,0,1,0,1,1
account.tyynafl.com,19,0,2,0,0,1
wltxki.net,10,0,1,0,0,0
rvmsfpu-update,14,0,0,1,0,1
vrrrwgfsga.org,14,0,1,0,0,0
nrjzr.io,8,0,1,0,0,0
gjtrj.net,9,0,1,0,0,0
syascs.org,10,0,1,0,0,0
lupwhgl85,9,1,0,0,0,1
dlvisz.org,10,0,1,0,0,0
zadfktgkdm.co,13,0,1,0,0,0
vtmwq.org,9,0,1,0,0,0
qilcugu,7,0,0,0,0,1
oandty-update,13,0,0,1,0,1
arjlhwm78,9,1,0,0,0,1
zijbgbnh.org,12,0,1,0,0,0
login-lqwebiaf,14,0,0,1,0,1
pgupcqwkk.org,13,0,1,0,0,0
mfdedtmb.org,12,0,1,0,0,0
ilhavllt.co,11,0,1,0,0,0
szjuhizlr.io,12,0,1,0,0,0
elydmy12,8,1,0,0,0,1
sfvbs44,7,1,0,0,0,1
hmtwsyiuev.io,13,0,1,0,0,0
account-mfqukoqm,16,0,0,1,0,1
bqtctrso.io,11,0,1,0,0,0
srvod.co,8,0,1,0,0,0
ndrvlqy43,9,1,0,0,0,1
flbigetjw.io,12,0,1,0,0,0
kaxave-update,13,0,0,1,0,1
xqkoqliyq.co,12,0,1,0,0,0
tmkkuev.com,11,0,1,0,0,0
ysvkrhvz.co,11,0,1,0,0,0
palkj,5,0,0,0,0,1
jelkuwp@phishing.com,20,0,1,0,1,1
nkzbe.com,9,0,1,0,0,0
update.zzeffamr.com,19,0,2,0,0,1
update-lujpmi,13,0,0,1,0,1
g00gle.com,10,1,1,0,0,1
account-bogdpgq,15,0,0,1,0,1
vgpeou.io,9,0,1,0,0,0
bikesml.io,10,0,1,0,0,0
yjacly.co,9,0,1,0,0,0
cwhcxepul.com,13,0,1,0,0,0
fgbph-verify,12,0,0,1,0,1
pfslslvn.fake-site.com,22,0,2,1,0,1
miscydlpg.io,12,0,1,0,0,0
gfzxsftzy.net,13,0,1,0,0,0
fqvoi.co,8,0,1,0,0,0
cremn.co,8,0,1,0,0,0
xjllfergzf.com,14,0,1,0,0,0
elazg,5,0,0,0,0,1
rbxseb.net,10,0,1,0,0,0
fywvqeznt.net,13,0,1,0,0,0
vzfvt.org,9,0,1,0,0,0
verify-ljixazdd,15,0,0,1,0,1
kjcirgzs.net,12,0,1,0,0,0
suweevwa.com,12,0,1,0,0,0
bokptgrg.io,11,0,1,0,0,0
qcoeohqxy-update,16,0,0,1,0,1
ctmcszekm23,11,1,0,0,0,1
qduizmo34,9,1,0,0,0,1
verify-pvgvdo,13,0,0,1,0,1
verify.elgrh.com,16,0,2,0,0,1
olhab.net,9,0,1,0,0,0
inqbjhepa,9,0,0,0,0,1
mkhhd.net,9,0,1,0,0,0
glawzam13,9,1,0,0,0,1
fhhmvtj66,9,1,0,0,0,1
lqprf.org,9,0,1,0,0,0
trfawbo.com,11,0,1,0,0,0
iqpiszyln.co,12,0,1,0,0,0
swrdi.fake-site.com,19,0,2,1,0,1
shsydlb@phishing.com,20,0,1,0,1,1
amazon.com,10,0,1,0,0,0
ufyayqbsvj.io,13,0,1,0,0,0
update.dgxizfwi.com,19,0,2,0,0,1
ynbtwth99,9,1,0,0,0,1
sxemdswqg-verify,16,0,0,1,0,1
troipdpunt.org,14,0,1,0,0,0
account-omssl,13,0,0,1,0,1
dyojlsm97,9,1,0,0,0,1
konppvwt.fake-site.com,22,0,2,1,0,1
sqvzs.com,9,0,1,0,0,0
update.cowut.com,16,0,2,0,0,1
ihldykxky.org,13,0,1,0,0,0
mcssge.fake-site.com,20,0,2,1,0,1
mibuyyme.io,11,0,1,0,0,0
fhvgkfwk.io,11,0,1,0,0,0
orimibn.com,11,0,1,0,0,0
wrzbfy.io,9,0,1,0,0,0
kdujbjnzqi.org,14,0,1,0,0,0
bntdm@phishing.com,18,0,1,0,1,1
rdtymg.co,9,0,1,0,0,0
update-kejsitazkb,17,0,0,1,0,1
dqnrivf@phishing.com,20,0,1,0,1,1
psrqxs-account,14,0,0,1,0,1
abwudb-secure,13,0,0,1,0,1
vkndlnn.net,11,0,1,0,0,0
qlaebcdcon.net,14,0,1,0,0,0
update.qjjwufqz.com,19,0,2,0,0,1
account-zkynuiax,16,0,0,1,0,1
hzfav.co,8,0,1,0,0,0
ilanxp.io,9,0,1,0,0,0
bzdfzbjjp98,11,1,0,0,0,1
ueayekzp@phishing.com,21,0,1,0,1,1
zpfwlvcty.net,13,0,1,0,0,0
verify-dvuaevbfc,16,0,0,1,0,1
account.wobjlnjd.com,20,0,2,0,0,1
jxlkntotz.io,12,0,1,0,0,0
gpzysxexs@phishing.com,22,0,1,0,1,1
jnftawxsjs-update,17,0,0,1,0,1
ptnrspbh.fake-site.com,22,0,2,1,0,1
bazrmuypl15,11,1,0,0,0,1
vrzejkit.co,11,0,1,0,0,0
zyjxsqq.co,10,0,1,0,0,0
nkgaihcvn.com,13,0,1,0,0,0
login.jbtvalihjj.com,20,0,2,0,0,1
ptespwgl77,10,1,0,0,0,1
srkhx.io,8,0,1,0,0,0
qemthio.net,11,0,1,0,0,0
irgjdjpf.net,12,0,1,0,0,0
uwypg24,7,1,0,0,0,1
pcutyvlvlf.com,14,0,1,0,0,0
huchzeqkes.net,14,0,1,0,0,0
rtgqdtiy.org,12,0,1,0,0,0
wrkck.io,8,0,1,0,0,0
hkktvt-account,14,0,0,1,0,1
ncdcxd54,8,1,0,0,0,1
lnzgzwgmja.com,14,0,1,0,0,0
login-qcztvsfjcy,16,0,0,1,0,1
icbgtcu.io,10,0,1,0,0,0
lqgyrwag.com,12,0,1,0,0,0
exordqcuf.com,13,0,1,0,0,0
cvxwugft.fake-site.com,22,0,2,1,0,1
mhvtobk.net,11,0,1,0,0,0
kpfakxqjgn@phishing.com,23,0,1,0,1,1
vqfcd.org,9,0,1,0,0,0
bknezzr.io,10,0,1,0,0,0
uklallnsk.net,13,0,1,0,0,0
izhigecwc.net,13,0,1,0,0,0
tqsqriei@phishing.com,21,0,1,0,1,1
vnjqvnjf.org,12,0,1,0,0,0
zuzabhw.org,11,0,1,0,0,0
dbpjey51,8,1,0,0,0,1
vtlxclqtzw.io,13,0,1,0,0,0
dilbns@phishing.com,19,0,1,0,1,1
gswgzud.co,10,0,1,0,0,0
avqgo.io,8,0,1,0,0,0
jprqimdmg.co,12,0,1,0,0,0
gjzkci,6,0,0,0,0,1
iqsyva.io,9,0,1,0,0,0
atztubednx@phishing.com,23,0,1,0,1,1
lqgyp.com,9,0,1,0,0,0
fzbcyva.fake-site.com,21,0,2,1,0,1
cpcqlfzb.co,11,0,1,0,0,0
fsikvo.com,10,0,1,0,0,0
uxktkzs.org,11,0,1,0,0,0
auvzdiaooi.io,13,0,1,0,0,0
uwwgdwiog@phishing.com,22,0,1,0,1,1
nhrbzkfi,8,0,0,0,0,1
nfrtf.net,9,0,1,0,0,0
yszeyds,7,0,0,0,0,1
ahpnvx@phishing.com,19,0,1,0,1,1
kedwufh.co,10,0,1,0,0,0
tksaarxam.net,13,0,1,0,0,0
ktgvarqwe.net,13,0,1,0,0,0
wnnyqygn.net,12,0,1,0,0,0
hacabayhi,9,0,0,0,0,1
wkpsg,5,0,0,0,0,1
dzubtsa.fake-site.com,21,0,2,1,0,1
vkumkbf,7,0,0,0,0,1
ykjcuitj.fake-site.com,22,0,2,1,0,1
xfucrchr,8,0,0,0,0,1
hgficl.io,9,0,1,0,0,0
mjajknwtlf.io,13,0,1,0,0,0
qdkwpfno.net,12,0,1,0,0,0
tuqnuug.co,10,0,1,0,0,0
dqasqcvwif-update,17,0,0,1,0,1
mduybwpao.com,13,0,1,0,0,0
hwlre.co,8,0,1,0,0,0
ioiemyoire-login,16,0,0,1,0,1
iyslt.org,9,0,1,0,0,0
gjhowdlpy.com,13,0,1,0,0,0
update-dlmir,12,0,0,1,0,1
nkjrwyhccv.org,14,0,1,0,0,0
secure.pyaho.com,16,0,2,0,0,1
update.iaxyjjphp.com,20,0,2,0,0,1
nborcxf-login,13,0,0,1,0,1
ldrclaau.co,11,0,1,0,0,0
wuvyfufyta.net,14,0,1,0,0,0
deoxvk.io,9,0,1,0,0,0
nbolqh24,8,1,0,0,0,1
yuoslzbt.com,12,0,1,0,0,0
lhhjdghil.co,12,0,1,0,0,0
grepfm19,8,1,0,0,0,1
vonxlq93,8,1,0,0,0,1
fpumunxi.org,12,0,1,0,0,0
ockek.io,8,0,1,0,0,0
aiytzuz.co,10,0,1,0,0,0
uvaxm.co,8,0,1,0,0,0
vpkgdgjk-login,14,0,0,1,0,1
qwjqaqxi@phishing.com,21,0,1,0,1,1
secure.rnbudpxdt.com,20,0,2,0,0,1
lkhdtruied.io,13,0,1,0,0,0
account.rnbmg.com,17,0,2,0,0,1
nkzfiigr.fake-site.com,22,0,2,1,0,1
account-uuerkmqai,17,0,0,1,0,1
zagdjb@phishing.com,19,0,1,0,1,1
xhjuxi.com,10,0,1,0,0,0
mdztmzeqw.net,13,0,1,0,0,0
xypmigq@phishing.com,20,0,1,0,1,1
pcgokmpldy.net,14,0,1,0,0,0
verify.msjqpnjm.com,19,0,2,0,0,1
bjive.com,9,0,1,0,0,0
update-stgazoat,15,0,0,1,0,1
mjpxa.io,8,0,1,0,0,0
zitgs.org,9,0,1,0,0,0
exfto19,7,1,0,0,0,1
login-lbftbu,12,0,0,1,0,1
login.xcrccexw.com,18,0,2,0,0,1
kagiwyvgcm65,12,1,0,0,0,1
mgiuew.org,10,0,1,0,0,0
elalfsiylf80,12,1,0,0,0,1
fauqcqnc-secure,15,0,0,1,0,1
kqkrblauw,9,0,0,0,0,1
sscid.net,9,0,1,0,0,0
jktqzo.com,10,0,1,0,0,0
pxveh.org,9,0,1,0,0,0
atzuzyd70,9,1,0,0,0,1
cixpd.io,8,0,1,0,0,0
nfrlfbpfy.co,12,0,1,0,0,0
gnvqshngs18,11,1,0,0,0,1
account-hjhmukhg,16,0,0,1,0,1
tkvmlqbcpj.co,13,0,1,0,0,0
cgkcea,6,0,0,0,0,1
dpcnr@phishing.com,18,0,1,0,1,1
czuzls.net,10,0,1,0,0,0
nhoxdsz72,9,1,0,0,0,1
xjjpzbqvy.com,13,0,1,0,0,0
hinav,5,0,0,0,0,1
qnpjcerndg.io,13,0,1,0,0,0
tgxjgcv89,9,1,0,0,0,1
ywjes.co,8,0,1,0,0,0
kyrnrex.com,11,0,1,0,0,0
japbv.co,8,0,1,0,0,0
fryaqlsci.net,13,0,1,0,0,0
nvodv.com,9,0,1,0,0,0
bxqae.io,8,0,1,0,0,0
jcwutgw.fake-site.com,21,0,2,1,0,1
jqobu10,7,1,0,0,0,1
account.xfitd.com,17,0,2,0,0,1
pozmeqph-verify,15,0,0,1,0,1
ldrgjvnfph.net,14,0,1,0,0,0
srlvygwl.co,11,0,1,0,0,0
otoik.io,8,0,1,0,0,0
rmjis.io,8,0,1,0,0,0
ingltovfd.net,13,0,1,0,0,0
gbhdrq.fake-site.com,20,0,2,1,0,1
vablmaiwb-login,15,0,0,1,0,1
aeqfh82,7,1,0,0,0,1
lhbkxacl.net,12,0,1,0,0,0
qxheaesmy.fake-site.com,23,0,2,1,0,1
adzw0b0ltx,10,1,0,0,0,1
jpkwqx,6,0,0,0,0,1
qmdtyte.co,10,0,1,0,0,0
waixc.org,9,0,1,0,0,0
tadnrsqu.com,12,0,1,0,0,0
lwauiavksk.com,14,0,1,0,0,0
zhzzw,5,0,0,0,0,1
tmiwjgmjja.net,14,0,1,0,0,0
ilctmp@phishing.com,19,0,1,0,1,1
ubiyblg,7,0,0,0,0,1
btqzxl.org,10,0,1,0,0,0
twuwn.com,9,0,1,0,0,0
ivmwkwl.com,11,0,1,0,0,0
verify-zccpgoac,15,0,0,1,0,1
update-hkmaamggmq,17,0,0,1,0,1
mnahdnrtlb,10,0,0,0,0,1
szhyejcwaq.com,14,0,1,0,0,0
account.pzbbiohxdl.com,22,0,2,0,0,1
xkfep8,6,1,0,0,0,1
ftrvuemi.org,12,0,1,0,0,0
tzlqaaxaph15,12,1,0,0,0,1
hbazjpxb36,10,1,0,0,0,1
qbchebz,7,0,0,0,0,1
duigabypig,10,0,0,0,0,1
yoimphvaib-verify,17,0,0,1,0,1
gaeqjg@phishing.com,19,0,1,0,1,1
login-tnhpccpz,14,0,0,1,0,1
gltsna.fake-site.com,20,0,2,1,0,1
nsxqucojmk.io,13,0,1,0,0,0
piiyu44,7,1,0,0,0,1
crgytfy.co,10,0,1,0,0,0
cyvsfchozh3,11,1,0,0,0,1
vojfjjibu.fake-site.com,23,0,2,1,0,1
oigdmnmzc.fake-site.com,23,0,2,1,0,1
cqjueoe.net,11,0,1,0,0,0
jixcoaxjq.org,13,0,1,0,0,0
bvbssno.co,10,0,1,0,0,0
txbvqfu47,9,1,0,0,0,1
uxsha.co,8,0,1,0,0,0
jeomw.net,9,0,1,0,0,0
phespeol-account,16,0,0,1,0,1
update.nigqe.com,16,0,2,0,0,1
eewwzw.net,10,0,1,0,0,0
zqwbt.co,8,0,1,0,0,0
lrklvroq.com,12,0,1,0,0,0
ezaroxrnig@phishing.com,23,0,1,0,1,1
lqvraiib75,10,1,0,0,0,1
detaueb.org,11,0,1,0,0,0
qujdisb.co,10,0,1,0,0,0
update.qwuohn.com,17,0,2,0,0,1
fjkwjmun.com,12,0,1,0,0,0
laeunzicp.org,13,0,1,0,0,0
eiurzddr,8,0,0,0,0,1
pifbhuypa.io,12,0,1,0,0,0
xtbkm@phishing.com,18,0,1,0,1,1
aiqkton.fake-site.com,21,0,2,1,0,1
pzonld.com,10,0,1,0,0,0
zgrrbwzrf@phishing.com,22,0,1,0,1,1
brhsuscsj.io,12,0,1,0,0,0
uhyxjur90,9,1,0,0,0,1
fiqfpqbgq@phishing.com,22,0,1,0,1,1
oyizsce@phishing.com,20,0,1,0,1,1
wnjlvtet.com,12,0,1,0,0,0
njufzgkhh.co,12,0,1,0,0,0
limbeczbhp.com,14,0,1,0,0,0
zlcwdpzj.fake-site.com,22,0,2,1,0,1
login-xveczkfexl,16,0,0,1,0,1
account.ucujxmum.com,20,0,2,0,0,1
qtxfflpoo-update,16,0,0,1,0,1
fmgnm.com,9,0,1,0,0,0
xodrwa.net,10,0,1,0,0,0
caaoshji38,10,1,0,0,0,1
kyxad.io,8,0,1,0,0,0
eyypcyhd.org,12,0,1,0,0,0
qczbni86,8,1,0,0,0,1
update-zucafox,14,0,0,1,0,1
snpyjw@phishing.com,19,0,1,0,1,1
agrkyw0wgs,10,1,0,0,0,1
eysugshve.net,13,0,1,0,0,0
gtufrdyo.co,11,0,1,0,0,0
secure-blkzsjee,15,0,0,1,0,1
xudngwzosv.io,13,0,1,0,0,0
login.wmici.com,15,0,2,0,0,1
uchdojuuup-verify,17,0,0,1,0,1
utxmg.net,9,0,1,0,0,0
account-xgvkamu,15,0,0,1,0,1
dyhgbk-account,14,0,0,1,0,1
hnjeie,6,0,0,0,0,1
lfghc60,7,1,0,0,0,1
jjekrte50,9,1,0,0,0,1
login.mmshfa.com,16,0,2,0,0,1
cpylnjbklo.io,13,0,1,0,0,0
ckdgttudy.fake-site.com,23,0,2,1,0,1
secure-rqrhhptgba,17,0,0,1,0,1
pcprm.io,8,0,1,0,0,0
qmfutc78,8,1,0,0,0,1
cpvvdynxl.fake-site.com,23,0,2,1,0,1
normalwebsite.org,18,0,1,0,0,0
rroxksro.com,12,0,1,0,0,0
secure.fkdtmc.com,17,0,2,0,0,1
ovtog.io,8,0,1,0,0,0
kkssjtyq.com,12,0,1,0,0,0
jssxwguwd.io,12,0,1,0,0,0
tvksg75,7,1,0,0,0,1
wybxhdtiqo.io,13,0,1,0,0,0
frmzx.com,9,0,1,0,0,0
rjumafh.com,11,0,1,0,0,0
secure-login-paypal.com,25,0,2,1,0,1
account-hubypvgmlv,18,0,0,1,0,1
quzoz.io,8,0,1,0,0,0
cvnjgqgsin.io,13,0,1,0,0,0
zgbpgvx4,8,1,0,0,0,1
awgqci-login,12,0,0,1,0,1
bucdtgnacq,10,0,0,0,0,1
sxpsufsgm.io,12,0,1,0,0,0
xdmppl.co,9,0,1,0,0,0
login-udswhzar,14,0,0,1,0,1
xpvfvrp.com,11,0,1,0,0,0
nrhilt.org,10,0,1,0,0,0
nrywyqdkr.co,12,0,1,0,0,0
secure-fwbkzxsuya,17,0,0,1,0,1
gfxzv.fake-site.com,19,0,2,1,0,1
kiourbmnur34,12,1,0,0,0,1
rgvgjghgil@phishing.com,23,0,1,0,1,1
srzxno.com,10,0,1,0,0,0
sbzzlph.com,11,0,1,0,0,0
yeqrdid.fake-site.com,21,0,2,1,0,1
sxgtobdii.org,13,0,1,0,0,0
meamkz.net,10,0,1,0,0,0
eoqlj.io,8,0,1,0,0,0
rqnkcae.net,11,0,1,0,0,0
xfwxqqk@phishing.com,20,0,1,0,1,1
gmj0sh,6,1,0,0,0,1
kywtz3,6,1,0,0,0,1
zthzlbttw.fake-site.com,23,0,2,1,0,1
eimyhbmdf.co,12,0,1,0,0,0
arljqeg.io,10,0,1,0,0,0
ylvlupw.io,10,0,1,0,0,0
scmmxsmz.com,12,0,1,0,0,0
update-pvgahnr,14,0,0,1,0,1
djclierakt.net,14,0,1,0,0,0
djvawtf.net,11,0,1,0,0,0
vpxewlw.fake-site.com,21,0,2,1,0,1
shifvdpf.co,11,0,1,0,0,0
update-lxkntytewn,17,0,0,1,0,1
xvhyj.io,8,0,1,0,0,0
sbmuz.com,9,0,1,0,0,0
vsfrf55,7,1,0,0,0,1
rvgkfitjd.fake-site.com,23,0,2,1,0,1
google.com,10,0,1,0,0,0
dlcnj.io,8,0,1,0,0,0
buphzbdvd.co,12,0,1,0,0,0
krwkkvh.net,11,0,1,0,0,0
cajle.net,9,0,1,0,0,0
dclvhmwpn.net,13,0,1,0,0,0
qaclwr.com,10,0,1,0,0,0
rnaou.com,9,0,1,0,0,0
ydlowftgim.com,14,0,1,0,0,0
lzfqmkl@phishing.com,20,0,1,0,1,1
usfnt@phishing.com,18,0,1,0,1,1
okftdps.io,10,0,1,0,0,0
euhvy.net,9,0,1,0,0,0
qmacu,5,0,0,0,0,1
account.hluqll.com,18,0,2,0,0,1
ftdauaw.org,11,0,1,0,0,0
ucsimcukp,9,0,0,0,0,1
xxbnzem-verify,14,0,0,1,0,1
account.dcoyoo.com,18,0,2,0,0,1
qikoufmz.co,11,0,1,0,0,0
xudlgpcwfp,10,0,0,0,0,1
lijjtw.org,10,0,1,0,0,0
ebyccvha.io,11,0,1,0,0,0
yiiqhbmowf-verify,17,0,0,1,0,1
hxayek,6,0,0,0,0,1
vgxbwsjdx.net,13,0,1,0,0,0
qnszzn.co,9,0,1,0,0,0
mvdxxc.org,10,0,1,0,0,0
gkdoxc.io,9,0,1,0,0,0
